user_id,session_id,action,product_id,timestamp
U509,S02883,purchase,P033,2024-09-10 21:03:51
U570,S01363,view,P091,2024-09-01 09:20:58
U662,S00421,purchase,P042,2024-09-22 13:22:08
U124,S03220,purchase,P008,2024-09-10 07:09:59
U093,S04499,view,P037,2024-09-08 16:45:59
U317,S01480,view,P015,2024-09-27 16:26:43
U263,S04710,view,P032,2024-09-23 08:25:58
U544,S02880,view,P064,2024-09-28 14:05:51
U796,S03612,view,P069,2024-09-25 17:04:02
U593,S03405,purchase,P079,2024-09-07 04:04:10
U144,S00076,view,P076,2024-09-05 06:39:02
U899,S00729,view,P032,2024-09-19 13:17:28
U036,S02911,click,P093,2024-09-21 03:08:04
U236,S04508,click,P051,2024-09-26 12:33:45
U229,S00179,view,P036,2024-09-19 10:40:23
U946,S04153,purchase,P069,2024-09-08 00:36:33
U879,S01120,view,P091,2024-09-14 14:47:55
U015,S02144,purchase,P046,2024-09-28 10:19:17
U876,S01689,click,P048,2024-09-17 18:31:12
U978,S01796,view,P094,2024-09-14 05:26:51
U148,S02805,click,P044,2024-09-10 02:32:04
U077,S00635,view,P042,2024-09-27 16:59:02
U564,S01243,purchase,P077,2024-09-24 21:44:05
U922,S03588,click,P024,2024-09-25 09:12:29
U844,S04855,purchase,P016,2024-09-03 15:01:31
U121,S04529,purchase,P087,2024-09-20 01:27:46
U107,S02451,purchase,P035,2024-09-10 15:14:31
U681,S03527,click,P020,2024-09-25 15:17:46
U102,S03272,view,P057,2024-09-01 02:43:54
U016,S02849,purchase,P056,2024-09-20 08:33:32
U057,S03872,click,P020,2024-09-14 01:31:17
U649,S02771,view,P037,2024-09-17 08:58:33
U964,S02150,click,P084,2024-09-26 09:59:53
U668,S01307,purchase,P064,2024-09-26 19:15:31
U957,S04265,purchase,P069,2024-09-10 01:37:03
U115,S02313,purchase,P085,2024-09-13 14:31:08
U414,S01900,purchase,P011,2024-09-23 06:43:19
U290,S01578,purchase,P057,2024-09-06 17:02:45
U286,S02027,click,P058,2024-09-27 04:39:51
U752,S01293,purchase,P069,2024-09-27 11:33:07
U996,S02991,purchase,P041,2024-09-10 22:17:31
U646,S02621,click,P088,2024-09-06 09:39:08
U614,S01353,click,P073,2024-09-04 19:14:32
U504,S03305,click,P043,2024-09-04 11:04:13
U511,S02097,click,P031,2024-09-02 18:40:38
U804,S02213,purchase,P063,2024-09-15 12:36:02
U488,S02475,click,P008,2024-09-01 06:14:37
U976,S04457,click,P018,2024-09-17 22:45:44
U851,S01707,purchase,P095,2024-09-23 03:10:44
U624,S00092,purchase,P077,2024-09-27 12:34:55
U453,S01500,purchase,P049,2024-09-18 20:22:12
U990,S02252,view,P071,2024-09-08 18:47:51
U866,S04579,view,P087,2024-09-03 17:56:43
U905,S04376,view,P088,2024-09-15 22:21:18
U702,S03242,purchase,P027,2024-09-22 17:40:04
U146,S02888,purchase,P057,2024-09-25 08:05:46
U064,S04432,click,P040,2024-09-17 11:01:36
U265,S03369,click,P006,2024-09-11 04:39:32
U441,S02300,view,P039,2024-09-06 21:55:31
U662,S02932,click,P079,2024-09-19 00:03:24
U695,S04933,purchase,P036,2024-09-21 19:35:21
U249,S01447,click,P047,2024-09-22 07:58:50
U728,S01029,purchase,P020,2024-09-02 13:22:21
U370,S04466,purchase,P061,2024-09-13 16:28:42
U496,S00153,click,P091,2024-09-10 18:14:51
U852,S00999,purchase,P027,2024-09-05 11:45:59
U528,S02791,view,P100,2024-09-01 05:33:16
U134,S04383,purchase,P056,2024-09-18 23:42:31
U435,S01252,purchase,P046,2024-09-10 00:44:39
U159,S01248,click,P027,2024-09-06 20:05:56
U562,S03679,click,P005,2024-09-10 22:36:20
U033,S03499,purchase,P085,2024-09-08 05:06:43
U589,S01689,view,P064,2024-09-18 21:43:15
U422,S03872,purchase,P034,2024-09-02 02:57:52
U480,S03167,view,P006,2024-09-11 04:19:50
U865,S03985,purchase,P087,2024-09-18 08:57:09
U617,S03679,purchase,P053,2024-09-21 06:55:12
U430,S03374,click,P045,2024-09-17 00:56:59
U678,S04483,view,P084,2024-09-24 16:50:19
U628,S03593,view,P005,2024-09-19 10:14:11
U408,S00761,purchase,P039,2024-09-24 19:07:47
U020,S04047,purchase,P054,2024-09-11 20:18:40
U252,S01904,purchase,P058,2024-09-11 23:02:18
U539,S00749,view,P066,2024-09-23 14:29:56
U195,S03099,purchase,P094,2024-09-03 18:47:56
U233,S01336,purchase,P037,2024-09-22 15:36:31
U696,S04071,view,P018,2024-09-05 15:05:50
U623,S01888,purchase,P055,2024-09-16 00:56:56
U580,S00605,purchase,P060,2024-09-15 11:10:16
U569,S01119,purchase,P074,2024-09-17 23:10:01
U457,S01148,click,P021,2024-09-06 22:15:11
U691,S04571,purchase,P042,2024-09-21 02:10:55
U890,S02482,purchase,P003,2024-09-13 13:10:32
U010,S02104,click,P077,2024-09-13 02:31:12
U161,S04629,view,P098,2024-09-14 12:55:32
U029,S00623,purchase,P087,2024-09-24 16:43:14
U388,S02898,view,P007,2024-09-16 05:05:57
U147,S00175,click,P052,2024-09-29 13:05:50
U683,S03603,click,P056,2024-09-12 23:48:32
U392,S04197,purchase,P011,2024-09-26 13:41:48
U748,S00342,click,P036,2024-09-19 12:17:42
U173,S00786,view,P094,2024-09-15 20:56:51
U330,S01767,purchase,P018,2024-09-26 21:21:22
U114,S03338,click,P053,2024-09-19 03:57:54
U316,S04818,purchase,P064,2024-09-12 16:51:42
U544,S03673,click,P056,2024-09-14 22:31:47
U964,S04429,purchase,P051,2024-09-17 01:28:19
U834,S00627,purchase,P021,2024-09-28 09:06:20
U956,S01082,purchase,P007,2024-09-05 16:07:30
U499,S02105,purchase,P056,2024-09-17 13:09:08
U174,S04630,view,P081,2024-09-02 22:57:38
U745,S00179,view,P047,2024-09-19 01:08:43
U958,S01198,click,P061,2024-09-28 08:40:15
U202,S01042,purchase,P095,2024-09-08 06:29:12
U449,S00461,click,P060,2024-09-15 02:49:49
U144,S03182,click,P048,2024-09-10 06:08:21
U015,S00279,view,P065,2024-09-16 07:56:00
U254,S00451,purchase,P072,2024-09-24 12:00:56
U472,S01045,view,P004,2024-09-17 11:48:07
U582,S02418,purchase,P079,2024-09-25 14:23:37
U888,S01813,purchase,P084,2024-09-27 15:31:09
U442,S00457,purchase,P065,2024-09-15 14:51:15
U389,S02897,click,P069,2024-09-05 08:56:34
U901,S04040,click,P074,2024-09-23 18:48:57
U104,S04551,view,P023,2024-09-19 15:52:24
U211,S00341,purchase,P089,2024-09-16 19:40:53
U124,S00231,click,P033,2024-09-07 11:40:26
U685,S00609,view,P088,2024-09-17 00:26:11
U131,S01064,view,P016,2024-09-04 17:01:00
U454,S02399,view,P092,2024-09-26 15:26:51
U135,S00034,purchase,P024,2024-09-09 12:30:39
U183,S04584,purchase,P086,2024-09-05 10:40:52
U725,S04035,view,P011,2024-09-17 19:24:26
U041,S03269,purchase,P063,2024-09-18 10:19:21
U975,S03190,purchase,P081,2024-09-29 02:25:16
U957,S00009,click,P033,2024-09-26 17:21:59
U482,S00319,view,P058,2024-09-16 15:02:27
U258,S01969,click,P073,2024-09-09 23:05:58
U824,S04718,view,P053,2024-09-13 18:00:53
U172,S01237,view,P077,2024-09-12 08:23:35
U453,S04784,view,P023,2024-09-25 13:00:06
U705,S03203,purchase,P094,2024-09-05 19:10:11
U144,S03759,view,P042,2024-09-12 00:51:19
U223,S00974,purchase,P011,2024-09-02 08:29:15
U368,S04265,view,P087,2024-09-13 02:27:49
U815,S00147,view,P099,2024-09-11 23:41:08
U666,S03627,view,P072,2024-09-20 13:49:26
U850,S04233,view,P016,2024-09-04 09:00:47
U403,S00301,view,P055,2024-09-02 12:46:46
U881,S00318,purchase,P076,2024-09-15 17:21:03
U640,S04127,purchase,P094,2024-09-26 04:03:51
U495,S04332,click,P065,2024-09-27 15:18:21
U854,S02912,purchase,P045,2024-09-08 20:38:11
U119,S04487,view,P075,2024-09-29 15:27:12
U596,S04922,click,P096,2024-09-16 17:31:05
U253,S03676,purchase,P079,2024-09-09 12:18:16
U701,S03747,click,P037,2024-09-04 01:56:41
U426,S02592,purchase,P062,2024-09-11 07:08:46
U328,S00809,view,P098,2024-09-01 19:13:58
U653,S00293,purchase,P009,2024-09-18 23:19:59
U140,S00497,click,P078,2024-09-23 23:54:02
U862,S01240,purchase,P017,2024-09-16 13:22:40
U038,S00791,view,P032,2024-09-22 03:40:20
U818,S00771,purchase,P024,2024-09-11 14:08:12
U963,S01248,view,P070,2024-09-01 05:25:10
U207,S03299,purchase,P076,2024-09-14 22:34:54
U943,S00416,purchase,P081,2024-09-18 15:20:57
U842,S00363,view,P096,2024-09-16 03:30:49
U176,S01087,purchase,P034,2024-09-27 05:25:15
U126,S04515,purchase,P100,2024-09-12 08:31:50
U895,S01018,click,P027,2024-09-27 20:53:47
U090,S03589,view,P009,2024-09-25 11:40:11
U632,S03022,click,P025,2024-09-15 23:30:17
U891,S00087,purchase,P024,2024-09-05 03:40:35
U784,S01832,view,P028,2024-09-16 00:20:21
U421,S03026,click,P083,2024-09-21 04:47:32
U302,S01324,purchase,P049,2024-09-28 19:18:15
U524,S04260,purchase,P090,2024-09-03 06:42:10
U790,S02954,click,P078,2024-09-04 07:07:33
U511,S02427,purchase,P070,2024-09-16 22:57:15
U105,S04220,view,P059,2024-09-09 11:32:47
U428,S01082,view,P017,2024-09-17 21:15:32
U130,S02426,click,P001,2024-09-15 19:31:07
U205,S00690,click,P070,2024-09-20 17:07:26
U859,S03128,view,P003,2024-09-04 00:37:47
U337,S02931,purchase,P043,2024-09-20 10:48:03
U650,S01413,purchase,P004,2024-09-16 16:03:57
U529,S02314,click,P011,2024-09-08 09:24:30
U304,S01739,purchase,P074,2024-09-07 01:57:36
U921,S00813,purchase,P088,2024-09-09 21:30:23
U984,S04377,purchase,P049,2024-09-26 18:13:03
U555,S04887,click,P044,2024-09-07 20:53:26
U277,S00673,click,P080,2024-09-25 19:25:35
U465,S02027,view,P060,2024-09-13 00:02:40
U913,S00941,purchase,P073,2024-09-25 16:30:27
U172,S04872,click,P069,2024-09-07 07:02:07
U293,S03606,click,P082,2024-09-18 21:46:38
U105,S04553,view,P076,2024-09-09 20:27:47
U816,S03856,purchase,P020,2024-09-06 21:02:44
U261,S01722,purchase,P070,2024-09-26 16:13:36
U755,S00637,view,P074,2024-09-13 05:36:08
U515,S02522,purchase,P089,2024-09-29 02:34:33
U002,S00638,click,P028,2024-09-26 04:08:53
U335,S02061,view,P025,2024-09-09 07:21:30
U766,S04148,view,P069,2024-09-14 15:20:42
U377,S04942,click,P095,2024-09-20 21:54:12
U063,S03522,purchase,P003,2024-09-03 09:57:53
U579,S04387,view,P014,2024-09-01 17:01:35
U016,S00551,view,P073,2024-09-24 10:28:15
U308,S04187,click,P011,2024-09-05 00:51:42
U651,S03915,purchase,P071,2024-09-13 23:49:41
U510,S00577,view,P064,2024-09-06 09:18:42
U651,S02896,purchase,P036,2024-09-15 04:03:54
U940,S03164,view,P019,2024-09-08 23:32:25
U579,S03067,purchase,P033,2024-09-21 11:12:28
U528,S01901,view,P022,2024-09-20 14:58:25
U077,S00739,view,P085,2024-09-29 17:28:17
U920,S02712,click,P077,2024-09-10 09:15:29
U818,S01185,purchase,P025,2024-09-10 22:32:45
U623,S00807,view,P086,2024-09-25 08:30:01
U143,S03649,purchase,P051,2024-09-10 12:31:23
U213,S02626,view,P038,2024-09-02 12:24:26
U798,S00655,purchase,P052,2024-09-25 07:26:01
U778,S02554,click,P006,2024-09-14 00:53:07
U611,S01070,click,P079,2024-09-03 23:59:54
U210,S02345,view,P009,2024-09-15 05:38:25
U755,S02133,click,P020,2024-09-07 16:34:58
U160,S03250,view,P041,2024-09-23 07:48:14
U815,S04038,purchase,P090,2024-09-14 09:11:24
U481,S04063,view,P012,2024-09-14 16:20:52
U785,S03419,click,P045,2024-09-24 21:04:09
U045,S04978,view,P033,2024-09-25 18:49:20
U510,S00509,click,P082,2024-09-14 07:32:29
U271,S00251,view,P062,2024-09-27 22:42:34
U437,S04554,purchase,P093,2024-09-29 13:02:49
U202,S00669,view,P022,2024-09-14 02:23:02
U338,S01743,purchase,P003,2024-09-29 16:28:11
U534,S02788,view,P077,2024-09-11 22:30:41
U959,S00285,view,P003,2024-09-23 09:40:26
U002,S01760,view,P051,2024-09-29 12:51:37
U811,S01294,view,P041,2024-09-19 02:26:53
U916,S02396,click,P001,2024-09-03 16:21:19
U723,S03716,purchase,P064,2024-09-17 19:37:45
U574,S00111,click,P029,2024-09-12 23:42:25
U635,S04785,view,P024,2024-09-28 15:01:19
U475,S04074,view,P091,2024-09-26 06:33:30
U008,S01216,click,P098,2024-09-05 14:32:26
U102,S01800,view,P001,2024-09-07 10:28:01
U834,S01926,purchase,P087,2024-09-24 21:31:05
U996,S04971,view,P018,2024-09-25 06:51:13
U480,S00368,view,P043,2024-09-03 19:14:18
U292,S01074,view,P051,2024-09-02 02:30:50
U581,S01412,click,P046,2024-09-08 02:12:08
U343,S01512,view,P070,2024-09-09 14:10:16
U769,S04585,view,P067,2024-09-11 03:51:21
U504,S04355,view,P079,2024-09-27 17:09:00
U879,S03140,view,P069,2024-09-19 18:45:54
U947,S04710,view,P097,2024-09-27 07:55:14
U649,S01634,purchase,P047,2024-09-13 12:40:49
U083,S02833,click,P047,2024-09-01 05:57:43
U158,S03104,purchase,P078,2024-09-11 18:28:57
U320,S00757,view,P031,2024-09-24 11:29:11
U898,S03902,purchase,P020,2024-09-29 10:10:54
U372,S00409,view,P085,2024-09-19 00:59:48
U171,S02643,purchase,P016,2024-09-07 06:56:51
U130,S00109,view,P076,2024-09-27 14:51:10
U039,S01709,view,P069,2024-09-29 12:26:52
U783,S03414,view,P011,2024-09-06 01:34:48
U399,S01625,purchase,P067,2024-09-22 13:01:31
U561,S04072,purchase,P003,2024-09-24 17:03:20
U744,S00592,view,P083,2024-09-19 02:16:24
U132,S04532,view,P054,2024-09-25 20:29:04
U773,S02413,click,P031,2024-09-28 22:32:45
U085,S00063,click,P003,2024-09-28 11:43:06
U625,S00091,purchase,P054,2024-09-29 22:04:39
U452,S02581,click,P015,2024-09-18 20:59:43
U166,S04608,click,P064,2024-09-09 09:29:30
U328,S01185,view,P044,2024-09-14 11:35:40
U875,S04896,view,P054,2024-09-02 18:47:15
U011,S04619,view,P048,2024-09-17 00:19:47
U397,S00961,purchase,P056,2024-09-17 01:08:40
U717,S01903,click,P061,2024-09-03 05:04:50
U153,S02354,purchase,P001,2024-09-15 15:24:00
U334,S00061,click,P015,2024-09-28 09:52:37
U312,S00755,view,P003,2024-09-15 12:24:02
U926,S03241,purchase,P039,2024-09-16 19:06:02
U948,S03501,purchase,P006,2024-09-15 14:53:10
U169,S03707,view,P071,2024-09-08 21:36:16
U520,S01067,purchase,P049,2024-09-10 09:57:10
U548,S02886,purchase,P091,2024-09-16 01:19:15
U001,S03363,purchase,P052,2024-09-14 14:16:58
U109,S04973,view,P086,2024-09-06 06:52:39
U393,S03175,purchase,P032,2024-09-08 23:59:21
U390,S00464,click,P027,2024-09-12 20:43:20
U925,S03717,click,P034,2024-09-02 03:30:11
U534,S01492,click,P087,2024-09-02 17:25:22
U205,S02913,click,P084,2024-09-26 10:01:37
U165,S00299,purchase,P014,2024-09-05 02:43:34
U655,S04075,purchase,P016,2024-09-21 21:47:34
U754,S00813,click,P007,2024-09-25 06:29:59
U152,S03700,click,P047,2024-09-07 23:12:03
U765,S00352,purchase,P033,2024-09-23 20:29:28
U962,S02059,view,P095,2024-09-29 09:17:41
U808,S03933,purchase,P063,2024-09-10 05:47:04
U144,S03236,purchase,P065,2024-09-14 03:56:21
U001,S00847,purchase,P085,2024-09-21 15:10:48
U852,S03947,view,P050,2024-09-03 23:06:51
U348,S01813,purchase,P038,2024-09-27 05:00:27
U931,S01580,purchase,P011,2024-09-21 18:50:00
U383,S00907,purchase,P088,2024-09-02 01:10:55
U771,S01934,click,P024,2024-09-20 16:44:57
U001,S02974,purchase,P037,2024-09-21 07:32:56
U815,S04551,purchase,P071,2024-09-07 18:20:23
U585,S00690,view,P069,2024-09-22 16:23:15
U682,S02328,view,P048,2024-09-25 18:06:02
U764,S03367,view,P047,2024-09-01 01:13:31
U139,S04021,click,P021,2024-09-17 21:14:20
U227,S03429,click,P023,2024-09-06 20:17:51
U765,S00764,purchase,P056,2024-09-16 21:35:16
U410,S04338,click,P016,2024-09-01 06:16:28
U817,S02397,view,P005,2024-09-19 16:58:37
U925,S04492,view,P087,2024-09-17 00:29:37
U217,S02846,click,P096,2024-09-12 18:19:35
U695,S01568,view,P086,2024-09-24 01:50:37
U864,S00479,purchase,P022,2024-09-01 23:56:23
U463,S04503,purchase,P014,2024-09-14 05:49:49
U490,S01662,view,P035,2024-09-10 01:23:43
U747,S04675,click,P057,2024-09-20 02:54:01
U445,S04044,click,P040,2024-09-02 21:29:23
U222,S01807,click,P021,2024-09-02 07:33:21
U477,S02475,click,P079,2024-09-22 20:48:04
U178,S04548,click,P060,2024-09-28 11:53:41
U622,S03621,purchase,P079,2024-09-08 03:43:28
U671,S00291,click,P018,2024-09-10 15:27:26
U276,S03703,purchase,P054,2024-09-26 15:24:55
U313,S00131,click,P092,2024-09-21 23:46:30
U495,S00557,purchase,P048,2024-09-16 15:13:04
U166,S00914,purchase,P074,2024-09-07 09:14:14
U237,S02352,view,P019,2024-09-02 06:57:18
U611,S01648,view,P022,2024-09-16 19:13:51
U389,S01344,view,P084,2024-09-16 08:55:19
U742,S01063,view,P064,2024-09-26 15:17:44
U301,S00465,purchase,P031,2024-09-17 00:27:32
U695,S03763,view,P008,2024-09-07 22:53:25
U176,S03258,view,P083,2024-09-29 19:32:04
U686,S04504,view,P100,2024-09-27 20:38:10
U258,S01285,click,P042,2024-09-16 13:34:22
U314,S03540,view,P097,2024-09-01 01:17:51
U030,S02862,purchase,P066,2024-09-06 19:32:02
U560,S02516,purchase,P051,2024-09-18 05:25:24
U429,S04061,click,P049,2024-09-16 12:42:43
U710,S03724,view,P019,2024-09-15 22:21:29
U836,S00668,click,P100,2024-09-07 16:51:07
U970,S01978,purchase,P014,2024-09-26 02:11:27
U836,S03440,purchase,P085,2024-09-16 23:16:00
U997,S00058,view,P025,2024-09-19 23:07:07
U542,S04041,click,P001,2024-09-29 06:25:10
U137,S03973,purchase,P003,2024-09-11 23:18:46
U100,S02021,view,P027,2024-09-17 05:44:29
U002,S03250,view,P006,2024-09-21 19:40:54
U740,S01852,view,P015,2024-09-13 12:58:33
U584,S00301,purchase,P078,2024-09-22 06:07:44
U798,S02235,view,P041,2024-09-28 19:35:49
U575,S04763,click,P084,2024-09-18 11:52:04
U232,S01829,purchase,P069,2024-09-07 20:57:02
U821,S01416,view,P018,2024-09-07 09:55:17
U872,S01477,click,P055,2024-09-14 04:28:32
U404,S00656,view,P086,2024-09-07 09:37:40
U716,S00214,purchase,P061,2024-09-25 07:55:53
U527,S01584,click,P088,2024-09-15 10:37:15
U999,S01379,click,P060,2024-09-27 17:25:03
U785,S03045,click,P013,2024-09-23 05:17:22
U635,S03867,view,P018,2024-09-28 22:54:59
U689,S03837,view,P089,2024-09-06 09:56:13
U591,S03193,purchase,P070,2024-09-23 19:11:40
U861,S03320,purchase,P079,2024-09-07 15:43:53
